,source,Airport One,"City, Country One",dest,Airport Two,"City, Country Two",Actual,Prediction,Average_Degree
3239,161,Istanbul International Airport,"Istanbul, TR",1406,Haugesund Airport,"Karmøy, NO",0,0.8,161.0
3834,51,Paris Charles de Gaulle,"Paris, FR",553,Samos Airport,"Samos Island, GR",0,0.9,154.5
2848,51,Paris Charles de Gaulle,"Paris, FR",3159,Lourdes de Blanc Sablon Airport,"Lourdes-De-Blanc-Sablon, CA",0,0.8,148.5
2661,5,Boston Logan,"Boston, US",255,Antalya International Airport,"Antalya, TR",0,1.0,122.5
3767,50,London Gatwick,"London, UK",609,Lehigh Valley International Airport,"Allentown, US",0,0.8,121.5
4314,101,Suvarnabhumi Bangkok International Airport,"Bangkok, TH",3445,Beijing Daxing International Airport,"Beijing, CN",0,0.9,107.5
3879,12,New York John F. Kennedy International Airport,"New York, US",359,Central Illinois Regional Airport at Bloomington-Normal,"Bloomington/Normal, US",0,1.0,107.0
3394,76,Zurich-Kloten Airport,"Zurich, CH",818,Borg El Arab International Airport,"Alexandria, EG",0,0.9,102.5
3148,178,Charlotte Douglas International Airport,"Charlotte, US",447,Capital City Airport,"Lansing, US",0,1.0,95.0
3083,76,Zurich-Kloten Airport,"Zurich, CH",1430,Parma Airport,"Parma, IT",0,1.0,92.5
2993,250,Guangzhou Baiyun International Airport,"Guangzhou, CN",2808,Ranong Airport,"Ranong, TH",0,0.8,88.0
3527,15,Orlando International Airport,"Orlando, US",378,Yeager Airport,"Charleston, US",0,1.0,85.5
4435,141,Malta International Airport,"Luqa, MT",789,Pula Airport,"Pula, HR",0,1.0,77.5
3897,315,Jinnah International Airport,"Karachi, PK",903,Xi'an Xianyang International Airport,"Xianyang, CN",0,0.9,77.5
3836,286,Queen Alia International Airport,"Amman, JO",507,Ioannis Kapodistrias International Airport,"Kerkyra Island, GR",0,1.0,71.0
3567,220,"St. Thomas, Cyril E. King Airport","Charlotte Amalie, VI",784,Brussels South Charleroi Airport,"Brussels, BE",0,0.8,69.0
3600,167,Hamburg Airport,"Hamburg, DE",1311,Turku Airport,"Turku, FI",0,1.0,67.5
3877,140,Warsaw Chopin Airport,"Warsaw, PL",1192,Al Najaf International Airport,"Najaf, IQ",0,0.8,64.0
2585,673,Kunming Wujiaba International Airport,"Kunming, CN",3291,Shikezi Huayuan Airport,"Shikezi, CN",0,1.0,59.5
3807,475,Belfast International Airport,"Belfast, UK",541,Gdańsk Lech Wałęsa Airport,"Gdańsk, PL",0,0.8,59.0
3043,264,Huntsville International Carl T Jones Field,"Huntsville, US",486,Tenerife South Airport,"Tenerife Island, ES",0,0.9,58.5
3425,722,Sharjah International Airport,"Sharjah, AE",2635,Uralsk Airport,"Uralsk, KZ",0,0.8,54.0
3413,342,Boryspil International Airport,"Kiev, UA",1431,Perugia San Francesco d'Assisi – Umbria International Airport,"Perugia, IT",0,0.9,53.5
3414,309,Stewart International Airport,"Newburgh, US",347,Francisco de Sa Carneiro Airport,"Porto, PT",0,0.9,53.5
3522,26,San Diego Lindbergh,"San Diego, US",152,Greater Rochester International Airport,"Rochester, US",0,0.9,51.0
3959,39,El Paso International Airport,"El Paso, US",41,"Cleveland, Hopkins International Airport","Cleveland, US",0,1.0,46.0
3926,287,Bergen Airport Flesland,"Bergen, NO",1282,Comiso Airport,"Comiso, IT",0,0.9,41.0
4361,213,"Osaka, Kansai International Airport","Osaka, JP",2838,Kyaukpyu Airport,"Kyaukpyu, MM",0,0.9,41.0
3290,714,Taoxian Airport,"Shenyang, CN",1498,Bailian Airport,"Liuzhou, CN",0,1.0,40.0
2559,179,Luxembourg-Findel International Airport,"Luxembourg, LU",1678,Lorient South Brittany (Bretagne Sud) Airport,"Lorient/Lann/Bihoué, FR",0,1.0,36.5
3973,33,San Antonio,"San Antonio, US",895,General Guadalupe Victoria International Airport,"Durango, MX",0,1.0,33.5
2841,34,New Orleans L. Armstrong,"New Orleans, US",891,Ernest A. Love Field,"Prescott, US",0,0.9,33.0
2638,133,"Buenos Aires, Ministro Pistarini International Airport","Buenos Aires, AR",1606,Cerro Moreno Airport,"Antofagasta, CL",0,1.0,30.0
2989,1390,Kiev Zhuliany International Airport,"Kiev, UA",1928,Lappeenranta Airport,"Lappeenranta, FI",0,1.0,28.5
4154,1356,Niederrhein Airport,"Weeze, DE",1760,Sitia Airport,"Crete Island, GR",0,1.0,28.0
4023,224,"Lagos,Murtala Muhammed International Airport","Lagos, NG",2015,Tshikapa Airport,"Tshikapa, CD",0,0.9,25.5
4167,1213,Santander Airport,"Santander, ES",1282,Comiso Airport,"Comiso, IT",0,0.8,18.0
3344,438,Syracuse Hancock International Airport,"Syracuse, US",622,Greenbrier Valley Airport,"Lewisburg, US",0,1.0,14.0
2798,233,"Curacao, Hato International Airport","Curacao, CW",2566,Eduardo Falla Solano Airport,"San Vicente Del Caguán, CO",0,0.8,14.0
4144,263,City of Colorado Springs Municipal Airport,"Colorado Springs, US",270,Shreveport Regional Airport,"Shreveport, US",0,1.0,13.5
3037,421,Savannah Hilton Head International Airport,"Savannah, US",2588,Barinas Airport,"Barinas, VE",0,0.8,13.0
2642,32,Westchester County,"White Plains, US",447,Capital City Airport,"Lansing, US",0,1.0,12.0
3731,727,Trivandrum International Airport,"Trivandrum, IN",2791,Kaadedhdhoo Airport,"Huvadhu Atoll, MV",0,1.0,11.0
3339,1106,Nome Airport,"Nome, US",2332,Edward G. Pitka Sr Airport,"Galena, US",0,1.0,10.0
4048,1590,Santos Dumont Airport,"Rio De Janeiro, BR",3001,Guanambi Airport,"Guanambi, BR",0,0.9,10.0
4139,1736,Maastricht Aachen Airport,"Maastricht, NL",1890,Mecheria Airport,"Mecheria, DZ",0,0.9,9.5
2676,27,Long Beach Airport,"Long Beach, US",1242,Trail Airport,"Trail, CA",0,0.9,8.5
3274,592,Rafael Nuñez International Airport,"Cartagena, CO",2567,Gustavo Vargas Airport,"Tame, CO",0,1.0,8.0
3330,209,"Freeport, Grand Bahama International Airport","Freeport, BS",1056,San Salvador Airport,"San Salvador, BS",0,1.0,8.0
4122,760,Kumamoto Airport,"Kumamoto, JP",765,Okayama Airport,"Okayama City, JP",0,1.0,8.0
3553,2721,Fergana International Airport,"Fergana, UZ",2895,Kashgar Airport,"Kashgar, CN",0,1.0,7.0
3653,548,Kilimanjaro International Airport,"Arusha, TZ",3078,Bukavu Kavumu Airport,"Bukavu, CD",0,1.0,7.0
2760,2145,Çardak Airport,"Denizli, TR",2691,Anapa Airport,"Anapa, RU",0,1.0,6.5
3470,264,Huntsville International Carl T Jones Field,"Huntsville, US",2991,Lansdowne House Airport,"Lansdowne House, CA",0,1.0,6.5
4084,526,Bangor International Airport,"Bangor, US",1158,Bradford Regional Airport,"Bradford, US",0,1.0,6.0
2741,2142,Sivas Airport,"Sivas, TR",2741,Orenburg Central Airport,"Orenburg, RU",0,0.8,6.0
4017,1360,"Sumburgh Airport, Shetland Islands","Lerwick, UK",1936,St. Mary's Airport,"St. Mary's, UK",0,0.9,5.0
3958,1614,Jorge Wilsterman International Airport,"Cochabamba, BO",2517,Santa Maria Airport,"Santa Maria, BR",0,0.8,5.0
2931,1760,Sitia Airport,"Crete Island, GR",2143,Zonguldak Airport,"Zonguldak, TR",0,1.0,4.5
2685,1427,Dinard-Pleurtuit-Saint-Malo Airport,"Dinard/Pleurtuit/Saint-Malo, FR",1675,Castres-Mazamet Airport,"Castres/Mazamet, FR",0,1.0,4.0
3424,1491,Xilinhot Airport,"Xilinhot, CN",2945,Jiayuguan Airport,"Jiayuguan, CN",0,1.0,4.0
2859,1332,Lok Nayak Jayaprakash Airport,"Patna, IN",2745,Yining Airport,"Yining, CN",0,1.0,3.5
4256,1444,Fort Smith Airport,"Fort Smith, CA",1850,Gjoa Haven Airport,"Gjoa Haven, CA",0,1.0,3.5
4372,2754,Silchar Airport,"Silchar, IN",2810,Udon Thani Airport,"Udon Thani, TH",0,1.0,3.5
2979,2278,Abadan Airport,"Abadan, IR",2644,Gabala International Airport,"Gabala, AZ",0,1.0,3.0
3189,525,Augusta Regional At Bush Field,"Augusta, US",2077,South Arkansas Regional At Goodwin Field,"El Dorado, US",0,1.0,3.0
4255,2442,Bacolod-Silay City International Airport,"Bacolod City, PH",3124,Long Banga Airport,"Long Banga, MY",0,1.0,3.0
4427,2494,Bonito Airport,"Bonito, BR",2576,Juana Azurduy De Padilla Airport,"Sucre, BO",0,1.0,3.0
3347,888,Merced Regional Macready Field,"Merced, US",918,Helena Regional Airport,"Helena, US",0,0.9,3.0
4224,1601,Desierto de Atacama Airport,"Copiapo, CL",2569,El Caraño Airport,"Quibdó, CO",0,0.8,3.0
2666,2964,Anshun Huangguoshu Airport,"Anshun, CN",3349,Golog Maqin Airport,"Golog, CN",0,1.0,2.5
3303,2779,Vijayawada Airport,"Vijayawada, IN",2781,Mysore Airport,"Mysore, IN",0,1.0,2.5
3733,1152,Tweed New Haven Airport,"New Haven, US",2078,New Bedford Regional Airport,"New Bedford, US",0,1.0,2.5
3260,1422,Skellefteå Airport,"Skellefteå, SE",1926,Augsburg Airport,"Augsburg, DE",0,0.9,2.5
3554,1015,Wynyard Airport,"Burnie, AU",3086,Birdsville Airport,"Birdsville, AU",0,0.9,2.5
3417,2414,Yeosu Airport,"Yeosu, KR",2939,Lingling Airport,"Yongzhou, CN",0,0.8,2.5
2662,2358,Pilot Point Airport,"Pilot Point, US",2618,Takotna Airport,"Takotna, US",0,1.0,2.0
2776,2542,Camilo Daza International Airport,"Cúcuta, CO",3340,John A. Osborne Airport,"Gerald's Park, MS",0,1.0,2.0
3269,1641,Jönköping Airport,"Jönköping, SE",3374,Nordholz-Spieka,"Cuxhaven, DE",0,1.0,2.0
3746,2530,Coronel E Carvajal Airport,"Macas, EC",2603,Mayor Buenaventura Vivas International Airport,"Santo Domingo, VE",0,1.0,2.0
4137,2286,Birjand Airport,"Birjand, IR",3186,Zhob Airport,"Fort Sandeman, PK",0,1.0,2.0
4262,1728,Gabès Matmata International Airport,"Gabès, TN",1891,Cheikh Larbi Tébessi Airport,"Tébessi, DZ",0,1.0,2.0
4335,1803,Moro Airport,"Moro, PG",3132,Mopah Airport,"Merauke-Papua Island, ID",0,1.0,2.0
3817,1073,Alpena County Regional Airport,"Alpena, US",3223,Kangiqsujuaq (Wakeham Bay) Airport,"Kangiqsujuaq, CA",0,0.9,2.0
3942,2744,Saransk Airport,"Saransk, RU",3190,Parsabade Moghan Airport,"Parsabad, IR",0,0.9,2.0
4368,1674,Périgueux-Bassillac Airport,"Périgueux/Bassillac, FR",1890,Mecheria Airport,"Mecheria, DZ",0,1.0,1.5
3107,1912,Benin Airport,"Benin, NG",1971,N'Gaoundéré Airport,"N'Gaoundéré, CM",0,0.9,1.5
4054,2969,Liping Airport,"Liping, CN",3462,Sanhe Airport,"Yueyang, CN",0,0.9,1.5
4072,867,Chico Municipal Airport,"Chico, US",1273,Pangborn Memorial Airport,"Wenatchee, US",0,1.0,1.0
